"c","x","y","people","typePoint","point","words","frame","name","date","x2","y2","nx","ny"
0.89536,90.4399,83.6193,1,"pose_keypoints",0,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",6.81909999999999,44.9807,0.208800919604292,1.39574262006959
0.827504,83.6208,128.6,1,"pose_keypoints",1,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",0,0,0,0
0.80472,51.3811,129.534,1,"pose_keypoints",2,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-32.2397,-0.933999999999997,-1.00064319389535,-0.0269408126467509
0.746323,41.5415,198.922,1,"pose_keypoints",3,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-42.0793,-70.322,-1.3016467813235,-2.18008055673468
0.787288,26.8442,269.308,1,"pose_keypoints",4,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-56.7766,-140.708,-1.75336724917731,-4.36388878492092
0.761063,115.838,128.534,1,"pose_keypoints",5,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",32.2172,0.0660000000000025,1,0
0.713458,149.087,190.151,1,"pose_keypoints",6,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",65.4662,-61.551,2.0359487589179,-1.91467205772347
0.853356,144.211,175.458,1,"pose_keypoints",7,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",60.5902,-46.858,1.88366610870578,-1.45829935448067
0.488271,85.549,247.817,1,"pose_keypoints",8,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",1.9282,-119.217,0.0674309526087644,-3.70055282404654
0.502096,65.9612,248.806,1,"pose_keypoints",9,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-17.6596,-120.206,-0.540500715449727,-3.73000530625816
0.551748,65.9472,332.862,1,"pose_keypoints",10,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-17.6736,-204.262,-0.535590376292013,-6.33905649886287
0,NA,NA,1,"pose_keypoints",11,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0.483984,106.098,246.846,1,"pose_keypoints",12,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",22.4772,-118.246,0.705198885420031,-3.6717201720335
0.522213,106.046,329.924,1,"pose_keypoints",13,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",22.4252,-201.324,0.708867537095531,-6.25041236536534
0,NA,NA,1,"pose_keypoints",14,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0.925679,82.6236,74.8347,1,"pose_keypoints",15,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-0.997200000000007,53.7653,-0.0343713289990643,1.66890879740368
0.92691,97.2501,74.8297,1,"pose_keypoints",16,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",13.6293,53.7703,0.41962688130126,1.66813393547031
0.850767,71.8738,76.7747,1,"pose_keypoints",17,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-11.747,51.8253,-0.367915858723489,1.60937581312702
0.23808,103.143,77.7448,1,"pose_keypoints",18,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",19.5222,50.8552,0.602724624615387,1.57727611880534
0,NA,NA,1,"pose_keypoints",19,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",20,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",21,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",22,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",23,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",24,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0.895332,90.4402,83.6196,1,"pose_keypoints",0,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",6.81910000000001,44.9804,0.20878368085457,1.39561638233091
0.828248,83.6211,128.6,1,"pose_keypoints",1,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",0,0,0,0
0.807593,51.3803,129.532,1,"pose_keypoints",2,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-32.2408,-0.932000000000016,-1.00059361281419,-0.0268765831537118
0.747053,41.5422,198.922,1,"pose_keypoints",3,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-42.0789,-70.322,-1.30152566346721,-2.17989811595353
0.78654,26.8444,269.309,1,"pose_keypoints",4,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-56.7767,-140.709,-1.75322410708813,-4.36355442471678
0.762019,115.841,128.534,1,"pose_keypoints",5,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",32.2199,0.0660000000000025,1,0
0.714127,149.084,190.15,1,"pose_keypoints",6,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",65.4629,-61.55,2.03567533359385,-1.91448001303596
0.854657,144.211,175.451,1,"pose_keypoints",7,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",60.5899,-46.851,1.88349825201997,-1.45795954936649
0.490711,85.5486,246.855,1,"pose_keypoints",8,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",1.92749999999999,-118.255,0.0673417802080677,-3.67038521402902
0.506437,65.966,248.791,1,"pose_keypoints",9,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-17.6551,-120.191,-0.540317349869222,-3.7292275598282
0.542745,65.9449,332.855,1,"pose_keypoints",10,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-17.6762,-204.255,-0.535627723077466,-6.33830795782349
0,NA,NA,1,"pose_keypoints",11,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0.490378,106.097,246.832,1,"pose_keypoints",12,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",22.4759,-118.232,0.705097921856781,-3.67097776414087
0.524067,106.047,328.959,1,"pose_keypoints",13,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",22.4259,-200.359,0.708767435792354,-6.21993794675844
0,NA,NA,1,"pose_keypoints",14,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",NA,NA,NA,NA
0.925504,82.6235,74.8348,1,"pose_keypoints",15,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",-0.997599999999991,53.7652,-0.0343805706016891,1.66876585953587
0.926863,97.2504,74.8298,1,"pose_keypoints",16,"later_than",1,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than","2015-03-26",13.6293,53.7702,0.419592009485056,1.66799111503679
