"c","x","y","people","typePoint","point","words","frame","name","date"
0.892162,223.083,112.692,1,"pose_keypoints",0,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.700031,209.412,178.349,1,"pose_keypoints",1,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.522407,130.946,178.386,1,"pose_keypoints",2,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.273222,112.691,273.264,1,"pose_keypoints",3,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",4,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.548348,292.421,172.921,1,"pose_keypoints",5,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.348648,317.068,269.616,1,"pose_keypoints",6,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.543564,265.035,260.503,1,"pose_keypoints",7,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",8,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",9,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",10,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",11,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",12,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",13,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",14,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.850245,208.497,93.5663,1,"pose_keypoints",15,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.900938,237.675,98.1003,1,"pose_keypoints",16,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.844522,185.64,97.1667,1,"pose_keypoints",17,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.749513,252.257,105.443,1,"pose_keypoints",18,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",19,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",20,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",21,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",22,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",23,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0,0,0,1,"pose_keypoints",24,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.826946,187.093,91.5855,1,"face_keypoints",0,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.749447,185.799,101.609,1,"face_keypoints",1,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.789605,184.506,112.28,1,"face_keypoints",2,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.744422,184.183,122.303,1,"face_keypoints",3,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.669719,186.769,131.357,1,"face_keypoints",4,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.602403,192.266,139.441,1,"face_keypoints",5,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.681064,200.35,146.231,1,"face_keypoints",6,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.70416,209.404,149.788,1,"face_keypoints",7,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.836714,218.134,151.404,1,"face_keypoints",8,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.79908,225.894,149.141,1,"face_keypoints",9,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.695141,233.008,144.614,1,"face_keypoints",10,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.756912,238.505,138.794,1,"face_keypoints",11,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.714657,243.355,132.974,1,"face_keypoints",12,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.801524,246.265,125.537,1,"face_keypoints",13,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.802877,248.529,117.776,1,"face_keypoints",14,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.762395,249.175,109.046,1,"face_keypoints",15,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.655454,250.145,100.316,1,"face_keypoints",16,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.708225,198.087,89.322,1,"face_keypoints",17,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.795041,203.26,87.0586,1,"face_keypoints",18,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.859606,210.05,87.0586,1,"face_keypoints",19,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.884442,215.547,88.9987,1,"face_keypoints",20,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.80964,220.721,91.5855,1,"face_keypoints",21,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.827351,228.158,91.9088,1,"face_keypoints",22,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.827998,232.685,89.6454,1,"face_keypoints",23,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.833216,237.211,89.322,1,"face_keypoints",24,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.866119,241.738,89.6454,1,"face_keypoints",25,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.820557,246.265,91.9088,1,"face_keypoints",26,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.8962,224.278,97.0823,1,"face_keypoints",27,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.870195,223.954,102.579,1,"face_keypoints",28,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.822252,223.631,109.693,1,"face_keypoints",29,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.859531,223.631,115.513,1,"face_keypoints",30,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.812986,214.254,116.806,1,"face_keypoints",31,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
0.842853,218.134,118.747,1,"face_keypoints",32,"back_then",0,"2006-01-14_0600_US_KTTV-FOX_Ten_OClock_News_273-275_ID202_back_then","2006-01-14"
