"c","x","y","people","typePoint","point","words","frame","name","date"
0.89536,90.4399,83.6193,1,"pose_keypoints",0,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.827505,83.6209,128.6,1,"pose_keypoints",1,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.80472,51.3811,129.534,1,"pose_keypoints",2,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.746322,41.5415,198.922,1,"pose_keypoints",3,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.787287,26.8441,269.308,1,"pose_keypoints",4,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.761064,115.838,128.534,1,"pose_keypoints",5,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.713459,149.087,190.151,1,"pose_keypoints",6,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.853355,144.211,175.458,1,"pose_keypoints",7,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.488271,85.549,247.817,1,"pose_keypoints",8,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.502096,65.9612,248.806,1,"pose_keypoints",9,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.551749,65.9473,332.862,1,"pose_keypoints",10,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0,0,0,1,"pose_keypoints",11,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.483985,106.098,246.846,1,"pose_keypoints",12,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.522212,106.046,329.924,1,"pose_keypoints",13,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0,0,0,1,"pose_keypoints",14,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.925679,82.6235,74.8347,1,"pose_keypoints",15,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.92691,97.2501,74.8297,1,"pose_keypoints",16,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.850767,71.8738,76.7747,1,"pose_keypoints",17,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
0.23808,103.143,77.7449,1,"pose_keypoints",18,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26
