"c","x","y","people","typePoint","point","words","frame","name","date","x2","y2","nx","ny"
0.818274,223.992,92.6513,1,"pose_keypoints",0,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,30.104,80.2567,0.206242577784311,0.893482393068578
0.574122,193.888,172.908,1,"pose_keypoints",1,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,0,0,0,0
0.336124,112.698,178.373,1,"pose_keypoints",2,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,-81.19,-5.465,-0.950578769125537,0.0870769306154773
0.547217,68.933,316.134,1,"pose_keypoints",3,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,-124.955,-143.226,-1.21100497853537,-1.4613715323811
0.657706,135.506,237.712,1,"pose_keypoints",4,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,-58.382,-64.804,-0.56976325070917,-0.65776357957991
0.441782,280.553,159.22,1,"pose_keypoints",5,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,86.665,13.688,1,0
0.265481,326.175,289.685,1,"pose_keypoints",6,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,132.287,-116.777,1.78373267001274,-1.62917824712553
0,NA,NA,1,"pose_keypoints",7,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",8,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",9,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",10,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",11,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",12,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",13,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",14,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
0.807577,203.925,83.4755,1,"pose_keypoints",15,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,10.037,89.4325,-0.0483781453546346,1.03957422319984
0.89069,230.387,76.2269,1,"pose_keypoints",16,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,36.499,96.6811,0.251222061276141,1.07589421825711
0.789095,159.244,90.8009,1,"pose_keypoints",17,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,-34.644,82.1071,-0.563436374119959,1.03639782021524
0,NA,NA,1,"pose_keypoints",18,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",19,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",20,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
0,NA,NA,1,"pose_keypoints",21,"far_in_the_future",0,"2008-04-15_0600_US_KCET_Tavis_Smiley_239-242_ID678_far_in_the_future",2008-04-15,NA,NA,NA,NA
