"c","x","y","people","typePoint","point","words","frame","name","date","x2","y2","nx","ny"
0.89536,90.4399,83.6193,1,"pose_keypoints",0,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,6.81899999999999,44.9807,0.208798454882969,1.39574695742254
0.827505,83.6209,128.6,1,"pose_keypoints",1,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,0,0,0,0
0.80472,51.3811,129.534,1,"pose_keypoints",2,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-32.2398,-0.933999999999997,-1.00064940362993,-0.0269408835481909
0.746322,41.5415,198.922,1,"pose_keypoints",3,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-42.0794,-70.322,-1.30165391166827,-2.18008730897039
0.787287,26.8441,269.308,1,"pose_keypoints",4,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-56.7768,-140.708,-1.75337887171036,-4.36390230636734
0.761064,115.838,128.534,1,"pose_keypoints",5,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,32.2171,0.0660000000000025,1,0
0.713459,149.087,190.151,1,"pose_keypoints",6,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,65.4661,-61.551,2.03595198663089,-1.9146780073662
0.853355,144.211,175.458,1,"pose_keypoints",7,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,60.5901,-46.858,1.88366886083835,-1.45830388659486
0.488271,85.549,247.817,1,"pose_keypoints",8,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,1.9281,-119.217,0.0674280814876168,-3.70056430446497
0.502096,65.9612,248.806,1,"pose_keypoints",9,"later_than",0,"2015-03-26_2100_US_WEWS_Live_on_5_1221-1225_ID509_later_than",2015-03-26,-17.6597,-120.206,-0.540505473375965,-3.73001687423006
